Parameters,Cumulative Return,Cumulative Long Return,Cumulative Short Return,Maximum Drawdown,Average Size
"(1, 1, 5, 7, 2)",0.0596575186409753,0.0724092055051861,-0.0557914039697414,-0.0097934629291202,11.0
"(1, 1, 5, 7, 3)",0.0563382753398926,0.0724092055051863,-0.0855771279578212,-0.0107520723659147,11.5
"(1, 1, 5, 7, 4)",0.0610019351786965,0.0724092055051863,-0.0427800659679836,-0.0107385313959769,11.6
"(1, 1, 5, 8, 2)",0.0568930780359164,0.0713241936068627,-0.0722715007219266,-0.0098895901038352,10.2
"(1, 1, 5, 8, 3)",0.0589395323753441,0.0724092055051865,-0.0613756040925248,-0.0110149987502255,10.8
"(1, 1, 5, 8, 4)",0.0619388459445287,0.0724092055051865,-0.0333004900675587,-0.0113936783749317,10.9
"(1, 1, 5, 9, 2)",0.0555991677460312,0.0713241936068627,-0.0851897511110184,-0.0096289324906497,10.2
"(1, 1, 5, 9, 3)",0.053800950083561,0.0713241936068629,-0.1002640290750334,-0.011316033807523,10.3
"(1, 1, 5, 9, 4)",0.0556468650778894,0.0713241936068627,-0.0824615170285406,-0.0113160338075231,10.4
"(1, 1, 5, 10, 2)",0.0490251953632159,0.0708681528764552,-0.1389240687368745,-0.0096289324906496,10.2
"(1, 1, 5, 10, 3)",0.0526014384011463,0.0708681528764552,-0.1095451110694936,-0.0098895901038354,10.1
"(1, 1, 5, 10, 4)",0.0526941040315669,0.0708681528764554,-0.1087721789674511,-0.0098895901038351,10.2
"(1, 1, 5, 11, 2)",0.0333547162644156,0.0724092055051859,-0.2758215120389912,-0.013385091366792,10.2
"(1, 1, 5, 11, 3)",0.0499950123087447,0.0713367161556257,-0.1344920379286361,-0.0133486389111577,9.7
"(1, 1, 5, 11, 4)",0.0500874484827833,0.0713367161556257,-0.133740760242619,-0.0133486389111577,9.9
"(1, 1, 10, 7, 2)",0.0588902588461968,0.0724092055051859,-0.0640318794789736,-0.0106877800212188,12.3
"(1, 1, 10, 7, 3)",0.0582218759337378,0.0724092055051861,-0.0683126690270166,-0.0110176563071575,12.4
"(1, 1, 10, 7, 4)",0.0544873723609449,0.0724092055051863,-0.1004731057781177,-0.0108103057914712,13.0
"(1, 1, 10, 8, 2)",0.0580220072676496,0.0724092055051863,-0.0708201929256049,-0.0106877800212189,11.9
"(1, 1, 10, 8, 3)",0.0597104739278406,0.0724092055051861,-0.0537893511441208,-0.0110176563071576,11.9
